OrderID,Transaction
536370,"['ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE RED ', 'CHARLOTTE BAG DOLLY GIRL DESIGN', 'CIRCUS PARADE LUNCH BOX ', 'INFLATABLE POLITICAL GLOBE ', 'LUNCH BOX I LOVE LONDON', 'MINI JIGSAW CIRCUS PARADE ', 'MINI JIGSAW SPACEBOY', 'MINI PAINT SET VINTAGE ', 'PANDA AND BUNNIES STICKER SHEET', 'RED TOADSTOOL LED NIGHT LIGHT', 'ROUND SNACK BOXES SET OF4 WOODLAND ', 'SET 2 TEA TOWELS I LOVE LONDON ', 'SET2 RED RETROSPOT TEA TOWELS ', 'SPACEBOY LUNCH BOX ', 'STARS GIFT TAPE ', 'VINTAGE HEADS AND TAILS CARD GAME ', 'VINTAGE SEASIDE JIGSAW PUZZLES', 'Segment_Corporate', 'Region_Northeast']"
536852,"['CHARLOTTE BAG DOLLY GIRL DESIGN', 'MINI JIGSAW DOLLY GIRL', 'MINI JIGSAW SPACEBOY', 'PICTURE DOMINOES', 'POLKADOT RAIN HAT ', 'VINTAGE HEADS AND TAILS CARD GAME ', 'Segment_Consumer', 'Region_Northeast']"
536974,"['ASSORTED COLOUR MINI CASES', 'BIG DOUGHNUT FRIDGE MAGNETS', 'EDWARDIAN PARASOL BLACK', 'EDWARDIAN PARASOL PINK', 'EDWARDIAN PARASOL RED', 'LUNCH BAG RED RETROSPOT', 'LUNCH BAG WOODLAND', 'LUNCH BOX I LOVE LONDON', 'LUNCH BOX WITH CUTLERY RETROSPOT ', 'POPPYS PLAYHOUSE KITCHEN', 'RED  HARMONICA IN BOX ', 'RED RETROSPOT MINI CASES', 'RIBBON REEL POLKADOTS ', 'SET OF SALT AND PEPPER TOADSTOOLS', 'TEA PARTY BIRTHDAY CARD', 'Segment_Consumer', 'Region_Northeast']"
537065,"['5 HOOK HANGER RED MAGIC TOADSTOOL', 'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE ORANGE', 'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE RED ', 'ASSORTED COLOUR MINI CASES', 'BASKET OF TOADSTOOLS', 'BLUE 3 PIECE POLKADOT CUTLERY SET', 'BLUE GEISHA GIRL ', 'BREAD BIN DINER STYLE RED ', 'CERAMIC CHERRY CAKE MONEY BANK', 'CERAMIC STRAWBERRY MONEY BOX', 'CERAMIC STRAWBERRY TRINKET TRAY', 'CHERRY BLOSSOM  DECORATIVE FLASK', 'CHILDS BREAKFAST SET CIRCUS PARADE', 'CHILDS BREAKFAST SET DOLLY GIRL ', 'CHILDS BREAKFAST SET SPACEBOY ', 'CLASSICAL ROSE SMALL VASE', 'DECORATIVE CATS BATHROOM BOTTLE', 'DINOSAUR KEYRINGS ASSORTED', 'FIVE HEART HANGING DECORATION', 'GREEN 3 PIECE POLKADOT CUTLERY SET', 'GREEN GEISHA GIRL ', 'GUMBALL COAT RACK', 'HAND WARMER RED RETROSPOT', 'HOT WATER BOTTLE BABUSHKA ', 'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT', 'LUNCH BAG WOODLAND', 'LUNCH BOX WITH CUTLERY RETROSPOT ', 'NURSES BAG SOFT TOY', 'PACK OF 12 CIRCUS PARADE TISSUES ', 'PACK OF 12 RED RETROSPOT TISSUES ', 'PACK OF 12 SPACEBOY TISSUES', 'PACK OF 12 SUKI TISSUES ', 'PACK OF 12 WOODLAND TISSUES ', 'PAPERWEIGHT CHILDHOOD MEMORIES', 'PARTY BUNTING', 'PARTY TIME PENCIL ERASERS', 'PINK  HONEYCOMB PAPER BALL ', 'PINK PAINTED KASHMIRI CHAIR', 'PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN WOODLAND ANIMALS', 'POLKADOT RAIN HAT ', 'RAIN PONCHO RETROSPOT', 'RED 3 PIECE RETROSPOT CUTLERY SET', 'RED GINGHAM TEDDY BEAR ', 'RED RETROSPOT BUTTER DISH', 'RED RETROSPOT MINI CASES', 'RED RETROSPOT PURSE ', 'REGENCY CAKESTAND 3 TIER', 'RETROSPOT LAMP', 'RETROSPOT LARGE MILK JUG', 'ROSE COTTAGE KEEPSAKE BOX ', 'ROUND SNACK BOXES SET OF4 WOODLAND ', 'SET OF 6 3D KIT CARDS FOR KIDS', 'SET OF 6 SOLDIER SKITTLES', 'SET OF SALT AND PEPPER TOADSTOOLS', 'SET10 RED POLKADOT PARTY CANDLES', 'STRAWBERRY LUNCH BOX WITH CUTLERY', 'TOOL BOX SOFT TOY ', 'TRADITIONAL WOODEN CATCH CUP GAME ', 'Segment_Corporate', 'Region_Southeast']"
537463,"['BIG DOUGHNUT FRIDGE MAGNETS', 'BLACK RECORD COVER FRAME', 'BOOM BOX SPEAKER BOYS', 'BOX OF 24 COCKTAIL PARASOLS', 'CANDY SHOP  STICKER SHEET', 'COFFEE MUG CAT  BIRD DESIGN', 'COFFEE MUG DOG  BALL DESIGN', 'DOORMAT RESPECTABLE HOUSE', 'FANCY FONT BIRTHDAY CARD, ', 'GUMBALL COAT RACK', 'IVORY DINER WALL CLOCK', 'JAM MAKING SET PRINTED', 'LOVELY BONBON STICKER SHEET', 'LUNCH BOX WITH CUTLERY RETROSPOT ', 'METAL SIGN TAKE IT OR LEAVE IT ', 'OFFICE MUG WARMER PINK', 'OFFICE MUG WARMER POLKADOT', 'PACK OF 20 NAPKINS RED APPLES', 'PACK OF 72 RETROSPOT CAKE CASES', 'PINK POLKADOT CHILDRENS UMBRELLA', 'PLASTERS IN TIN WOODLAND ANIMALS', 'RECORD FRAME 7 SINGLE SIZE ', 'RED RETROSPOT CHILDRENS UMBRELLA', 'RED RETROSPOT CUP', 'RED TOADSTOOL LED NIGHT LIGHT', 'ROBOT BIRTHDAY CARD', 'ROUND SNACK BOXES SET OF4 WOODLAND ', 'SET OF 2 TEA TOWELS APPLE AND PEARS', 'SET OF SALT AND PEPPER TOADSTOOLS', 'SET10 BLUE POLKADOT PARTY CANDLES', 'SET10 RED POLKADOT PARTY CANDLES', 'SET4 SKULL BADGES', 'SKULLS  WATER TRANSFER TATTOOS ', 'SNOWSTORM PHOTO FRAME FRIDGE MAGNET', 'STRAWBERRY LUNCH BOX WITH CUTLERY', 'TABLECLOTH RED APPLES DESIGN ', 'TEA BAG PLATE RED RETROSPOT', 'TEA PARTY BIRTHDAY CARD', 'WOODLAND  STICKERS', 'WOODLAND CHARLOTTE BAG', 'Segment_Corporate', 'Region_Northeast']"
537468,"['10 COLOUR SPACEBOY PEN', 'BIRD HOUSE HOT WATER BOTTLE', 'CLOTHES PEGS RETROSPOT PACK 24 ', 'DELUXE SEWING KIT ', 'FELTCRAFT DOLL MARIA', 'FELTCRAFT PRINCESS CHARLOTTE DOLL', 'FELTCRAFT PRINCESS LOLA DOLL', 'GREY HEART HOT WATER BOTTLE', 'HOT WATER BOTTLE BABUSHKA ', 'HOT WATER BOTTLE TEA AND SYMPATHY', 'LUNCH BAG RED RETROSPOT', 'LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG SUKI  DESIGN ', 'MAGIC DRAWING SLATE CIRCUS PARADE  ', 'POPPYS PLAYHOUSE BATHROOM', 'POPPYS PLAYHOUSE BEDROOM ', 'POPPYS PLAYHOUSE KITCHEN', 'RETROSPOT HEART HOT WATER BOTTLE', 'SCOTTIE DOG HOT WATER BOTTLE', 'Segment_Consumer', 'Region_Southeast']"
537693,"['BLUE SCANDINAVIAN PAISLEY WRAP', 'FAIRY CAKE BIRTHDAY CANDLE SET', 'MAKE YOUR OWN MONSOON CARD KIT', 'MAKE YOUR OWN PLAYTIME CARD KIT', 'PAPER CHAIN KIT 50S CHRISTMAS ', 'PAPER CHAIN KIT VINTAGE CHRISTMAS', 'TEA TIME PARTY BUNTING', 'TRADITIONAL CHRISTMAS RIBBONS', 'VINTAGE CARAVAN GIFT WRAP', 'WRAP I LOVE LONDON ', 'Segment_Consumer', 'Region_Southeast']"
537893,"['CHILDS BREAKFAST SET SPACEBOY ', 'DOLLY GIRL LUNCH BOX', 'SILK PURSE BABUSHKA BLUE', 'Segment_Consumer', 'Region_Southeast']"
537897,"['CHARLOTTE BAG DOLLY GIRL DESIGN', 'CHILDRENS DOLLY GIRL MUG', 'CHRISTMAS RETROSPOT ANGEL WOOD', 'CLOTHES PEGS RETROSPOT PACK 24 ', 'DOORMAT RED RETROSPOT', 'FAWN BLUE HOT WATER BOTTLE', 'FELT TOADSTOOL  SMALL', 'MEASURING TAPE BABUSHKA RED', 'RED TOADSTOOL LED NIGHT LIGHT', 'RED WOOLLY HOTTIE WHITE HEART.', 'SET 7 BABUSHKA NESTING BOXES', 'SET OF 2 ROUND TINS CAMEMBERT ', 'Segment_Consumer', 'Region_Northeast']"
537967,"['RECIPE BOX RETROSPOT ', 'RED RETROSPOT CAKE STAND', 'Segment_Consumer', 'Region_Southeast']"
